,PP_SA_min_eigenvalue,PP_SA_eigenval_prob,PP_SA_yi,PP_SA_xij,PP_SA_runtime,PP_SA_assignment,PP_SA_real_weights_sum,PP_SA_placed_weights_sum,PP_SA_used_items,PP_SA_feasible,PP_SA_reason,PP_SA_penalties_dict_A,PP_SA_penalties_dict_B
18,2302.500000,0.001000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",94.926357,"[('0', 19), ('1', 16), ('2', 8), ('3', 11), ('4', 6)]",30,60,"[2, 3, 4, 0, 1, 2, 4, 1, 2, 3]",False,"['real_weights_sum:30 != placed_weights_sum:60; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
19,3403.000000,0.001000,"['1', '4', '2', '3', '0', '5']","['1', '4', '2', '3', '0', '5']",122.340679,"[('0', 11), ('1', 13), ('2', 13), ('3', 14), ('4', 31), ('5', 8)]",42,90,"[2, 3, 3, 5, 3, 4, 0, 4, 1, 2, 4, 5, 4]",False,"['real_weights_sum:42 != placed_weights_sum:90; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
20,4203.500000,0.001000,"['1', '4', '2', '3', '0', '5', '6']","['1', '4', '2', '3', '0', '5', '6']",139.362812,"[('0', 18), ('1', 7), ('2', 17), ('3', 17), ('4', 15), ('5', 25), ('6', 9)]",44,108,"[0, 1, 3, 3, 4, 5, 3, 5, 6, 4, 5, 6, 0, 1, 3, 2, 6]",False,"['real_weights_sum:44 != placed_weights_sum:108; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
21,4304.000000,0.001000,"['1', '4', '2', '3', '0', '5', '6', '7']","['1', '4', '2', '3', '0', '5', '6', '7']",176.500559,"[('0', 14), ('1', 11), ('2', 19), ('3', 8), ('4', 19), ('5', 19), ('6', 11), ('7', 13)]",52,114,"[0, 3, 5, 6, 1, 5, 6, 4, 0, 2, 3, 2, 4, 7, 5, 6, 6, 7]",False,"['real_weights_sum:52 != placed_weights_sum:114; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
22,6104.500000,0.001000,"['1', '4', '8', '2', '3', '0', '5', '6', '7']","['1', '4', '8', '2', '3', '0', '5', '6', '7']",215.702772,"[('0', 16), ('1', 22), ('2', 18), ('3', 25), ('4', 17), ('5', 21), ('6', 17), ('7', 8), ('8', 13)]",64,157,"[4, 7, 0, 1, 8, 2, 4, 8, 0, 3, 6, 1, 3, 4, 5, 7, 5, 6, 8, 1, 5, 7]",False,"['real_weights_sum:64 != placed_weights_sum:157; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
23,11505.000000,0.001000,"['9', '1', '4', '8', '2', '3', '0', '5', '6', '7']","['9', '1', '4', '8', '2', '3', '0', '5', '6', '7']",247.618914,"[('0', 30), ('1', 24), ('2', 16), ('3', 16), ('4', 16), ('5', 5), ('6', 17), ('7', 11), ('8', 6), ('9', 14)]",51,155,"[0, 1, 2, 3, 4, 5, 2, 3, 4, 8, 9, 6, 8, 9, 5, 7, 9, 3, 8, 9, 7, 0, 3, 8, 7, 8, 8, 0, 2, 7]",False,"['real_weights_sum:51 != placed_weights_sum:155; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
24,601.000000,0.001000,"['0', '1']","['0', '1']",50.199032,"[('0', 17), ('1', 17)]",17,34,"[0, 1, 2, 0, 1, 2]",False,"['real_weights_sum:17 != placed_weights_sum:34; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
25,1602.000000,0.002000,"['2', '3', '0', '1']","['2', '3', '0', '1']",64.846039,"[('0', 13), ('1', 20), ('2', 5), ('3', 12)]",25,50,"[0, 3, 0, 1, 2, 3, 2, 3]",False,"['real_weights_sum:25 != placed_weights_sum:50; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
26,2302.500000,0.002000,"['1', '4', '2', '3', '0']","['1', '4', '2', '3', '0']",96.298695,"[('0', 19), ('1', 15), ('2', 7), ('3', 8), ('4', 7)]",32,56,"[2, 3, 4, 1, 2, 3, 2, 3]",False,"['real_weights_sum:32 != placed_weights_sum:56; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
27,3702.500000,0.002000,"['1', '4', '2', '5', '0']","['1', '4', '2', '5', '0']",118.532658,"[('0', 15), ('1', 17), ('2', 23), ('4', 15), ('5', 20)]",46,90,"[3, 5, 1, 4, 2, 3, 5, 4, 5, 0, 1, 5]",False,"['real_weights_sum:46 != placed_weights_sum:90; ', 'Some bins are overfilled; ', 'Some items are used multiple times.']",100.000000,0.500000
